longitude,latitude,cluster_id
-121.457900,39.154500,1
-121.845700,39.606100,18
-121.861600,38.691900,7
-121.108800,37.611700,11
-115.350200,32.789400,5
-121.398900,37.675700,11
-121.784900,39.054400,1
-117.349800,33.932700,16
-122.791500,38.943100,9
-123.576300,39.276700,10
-121.108800,37.611700,11
-121.083500,41.091100,19
-117.269000,33.542800,13
-119.403500,36.822200,4
-121.204100,39.176300,1
-115.602300,32.770900,5
-121.323400,38.931500,1
-121.762500,39.354600,1
-120.116000,41.875300,19
-120.958000,37.196500,11
-115.562200,32.791900,5
-116.892200,33.640000,13
-118.062800,33.797200,16
-122.873700,41.453100,12
-122.266400,39.544800,18
-116.981200,33.258200,13
-121.869700,39.864200,18
-121.861600,38.691900,7
-119.503000,36.487700,4
-123.244100,39.131000,10
-118.877500,35.994400,14
-119.064300,35.348400,14
-121.757800,39.413500,18
-121.839700,39.743200,18
-121.869700,39.864200,18
-119.046700,35.156400,14
-121.431400,38.147100,17
-122.065300,39.256600,18
-122.161700,39.320000,18
-120.043100,37.022700,4
-121.810500,39.711100,18
-117.789900,33.690300,16
-119.381000,36.406600,4
-120.520600,37.129600,11
-122.017700,38.732400,7
-121.002800,36.178600,6
-121.397700,39.051000,1
-116.828100,33.050400,13
-122.441200,38.585100,9
-121.832100,37.282000,3
-119.632100,36.306100,4
-120.913300,39.085600,15
-121.649800,36.660300,6
-120.391400,34.806900,20
-119.211400,36.360700,4
-121.551700,38.307200,17
-119.184500,34.248000,8
-117.008300,33.541000,13
-118.461400,34.177800,8
-121.514600,38.613100,17
-123.244100,39.131000,10
-122.124500,38.225000,7
-117.269000,33.542800,13
-118.819300,34.196300,8
-122.504400,37.971900,9
-117.323000,33.970000,16
-122.465900,40.624700,2
-118.606400,34.420900,8
-121.952700,37.965500,3
-121.121900,37.757300,11
-117.788400,33.851200,16
-122.753500,38.502800,9
-122.124500,38.225000,7
-117.565900,33.875400,16
-119.673300,36.754100,4
-122.382600,37.730800,3
-119.888900,36.804400,4
-117.705900,33.478000,16
-121.810500,39.711100,18
-119.381300,36.294700,4
-122.640300,38.452500,9
-122.128500,37.709100,3
-119.870100,36.976800,4
-116.876500,32.842800,13
-121.279700,38.763400,17
-118.240300,34.029800,16
-121.869700,39.864200,18
-120.788500,38.750600,15
-118.151300,34.029400,16
-122.278000,40.662000,2
-117.013700,34.044900,16
-122.094400,37.294300,3
-121.037100,39.002000,15
-117.047100,32.679900,13
-121.074800,38.920000,15
-121.869700,39.864200,18
-121.121900,37.757300,11
-121.627000,37.168100,6
-121.724000,36.942800,6
-121.457900,39.154500,1
-122.559600,38.222400,9
-119.503000,36.487700,4
-119.888900,36.804400,4
-117.349800,33.932700,16
-117.821200,33.737600,16
-119.577600,36.928800,4
-121.981100,37.170700,3
-118.255100,34.120600,16
-122.010400,38.415700,7
-117.008300,33.541000,13
-121.384300,38.627800,17
-120.860700,37.477900,11
-122.278000,40.662000,2
-117.998300,33.795200,16
-121.145000,38.664500,17
-122.035800,38.004700,3
-122.781400,38.453400,9
-117.075300,32.994200,13
-118.291600,34.171500,16
-122.751100,38.391700,9
-119.718500,36.605700,4
-118.877500,35.994400,14
-120.365200,35.156000,20
-117.257900,34.078600,16
-122.862300,38.430500,9
-121.861600,38.691900,7
-119.183100,34.209100,8
-122.411100,37.473000,3
-122.007100,37.072200,6
-121.033300,37.815600,11
-121.807700,37.303200,3
-120.860700,37.477900,11
-120.260200,37.996000,11
-122.049600,37.520600,3
-121.572400,37.020700,6
-121.861600,38.691900,7
-122.415200,40.152100,2
-119.713300,36.810400,4
-117.258800,33.973900,16
-122.704100,38.325600,9
-121.384300,38.627800,17
-117.787800,33.892500,16
-117.587500,34.026700,16
-114.595900,33.610600,5
-121.827900,37.409000,3
-120.900800,39.220200,15
-118.275400,33.743300,16
-117.587500,34.026700,16
-117.705900,33.478000,16
-117.731100,33.607100,16
-118.836400,34.170700,8
-117.587500,34.026700,16
-118.836400,34.170700,8
-121.033300,37.815600,11
-117.008300,33.541000,13
-121.457900,39.154500,1
-117.179900,33.122600,13
-120.744400,35.650600,20
-119.888900,36.804400,4
-117.075500,32.794900,13
-118.881400,34.213400,8
-117.576300,34.099400,16
-118.595900,34.286800,8
-121.605100,39.032400,1
-121.902200,37.690200,3
-117.792200,34.063500,16
-119.265800,36.635500,4
-121.649800,36.660300,6
-121.660500,38.067400,7
-121.206700,38.581900,17
-118.245500,34.231200,16
-117.052600,32.635700,13
-121.605100,39.032400,1
-121.014800,37.667700,11
-117.729200,33.887100,16
-118.062800,33.797200,16
-121.187100,37.832400,11
-117.857800,33.884800,16
-121.384300,38.627800,17
-117.145500,34.423600,16
-120.882500,38.482400,17
-121.605100,39.032400,1
-121.235200,38.796000,17
-121.260800,37.961800,17
-119.291200,34.279300,8
-116.162500,33.695000,5
-120.788500,38.750600,15
-121.191000,39.588500,1
-119.012300,35.381300,14
-121.707400,38.934500,1
-120.227600,34.928700,20
-118.492400,34.196100,8
-118.032400,34.134400,16
-119.771600,36.747500,4
-117.247500,33.163100,13
-117.788400,33.851200,16
-119.265800,36.635500,4
-121.700900,39.060800,1
-121.125200,38.514200,17
-122.540000,38.024000,9
-122.540000,38.024000,9
-122.540000,38.024000,9
-121.810500,39.711100,18
-117.440000,33.899100,16
-119.034200,36.537800,4
-121.826900,37.240700,3
-121.839700,39.743200,18
-121.807300,37.989800,3
-117.678900,33.644300,16
-117.106800,33.223500,13
-121.299300,38.443000,17
-119.771600,36.747500,4
-120.995600,37.639500,11
-120.380200,37.375400,11
-117.709900,33.594000,16
-122.328400,38.251900,9
-117.007200,33.090200,13
-120.760900,37.777100,11
-122.279500,38.529700,9
-122.715600,38.440800,9
-117.787800,33.892500,16
-117.106800,33.223500,13
-120.973200,38.616400,17
-117.855400,33.746800,16
-121.167400,38.815300,17
-118.299200,33.894600,16
-121.014800,37.667700,11
-119.718500,36.605700,4
-119.673300,36.754100,4
-118.273900,33.920600,16
-117.106800,33.223500,13
-122.197200,38.113700,3
-117.129200,32.766400,13
-119.034200,36.537800,4
-118.479200,35.148300,14
-116.583300,33.866800,5
-121.912100,37.763500,3
-117.881700,33.788200,16
-116.327900,33.766400,5
-121.211500,37.280900,11
-119.381000,36.406600,4
-116.463000,33.814200,5
-118.878200,34.149600,8
-121.997800,37.813600,3
-118.914100,35.255200,14
-116.234100,33.748200,5
-121.152400,38.874500,15
-121.206700,38.581900,17
-122.267700,37.495000,3
-119.237100,35.404300,14
-117.106800,33.223500,13
-117.881700,33.788200,16
-120.161400,38.370800,15
-119.678900,36.826100,4
-122.810600,38.543900,9
-122.124500,38.225000,7
-122.001700,37.990300,3
-121.832100,37.282000,3
-121.435800,38.570900,17
-119.058400,36.293200,14
-121.279700,38.763400,17
-117.158500,33.187100,13
-119.726400,37.194600,4
-116.162500,33.695000,5
-117.549700,33.570500,16
-117.535900,33.876700,16
-118.093500,34.087400,16
-122.267700,37.495000,3
-122.781400,38.453400,9
-120.365200,35.156000,20
-119.771600,36.747500,4
-117.070600,33.634400,13
-120.744400,35.650600,20
-117.667700,33.604200,16
-121.402800,38.488800,17
-118.201300,33.880100,16
-123.244100,39.131000,10
-116.828100,33.050400,13
-116.828100,33.050400,13
-122.035800,38.004700,3
-120.893000,37.674100,11
-121.402800,38.488800,17
-118.086300,33.986600,16
-116.391800,33.699800,5
-118.600500,34.257500,8
-119.516700,34.413200,8
-117.257900,34.078600,16
-117.013700,34.044900,16
-117.678900,33.644300,16
-118.344500,34.231600,8
-117.866800,33.831000,16
-117.165200,32.807000,13
-119.184500,34.248000,8
-117.258800,33.973900,16
-119.888900,36.804400,4
-119.673300,36.754100,4
-121.183700,36.895600,6
-118.978300,34.198600,8
-117.165200,32.807000,13
-121.928100,38.009500,3
-117.189100,33.657500,13
-118.976200,34.142500,8
-119.183100,34.209100,8
-117.323000,33.970000,16
-116.990300,32.567800,13
-121.243500,37.739600,11
-121.945100,38.155600,7
-114.626300,33.584300,5
-117.203700,32.768800,13
-117.865900,33.599400,16
-117.535900,33.876700,16
-117.800800,33.736100,16
-122.278000,40.662000,2
-120.843500,37.965600,11
-121.324200,38.555800,17
-118.361300,33.958400,16
-118.595900,34.286800,8
-117.760800,34.039000,16
-121.324200,38.555800,17
-121.620100,36.729200,6
-121.988600,36.971700,6
-118.313500,33.830200,16
-122.316400,40.450600,2
-121.735100,37.899800,3
-121.439400,38.432700,17
-122.415200,40.152100,2
-121.945100,38.155600,7
-122.516900,40.338200,2
-121.401200,38.585200,17
-120.658700,35.282800,20
-120.391400,34.806900,20
-123.244100,39.131000,10
-120.538400,40.155000,19
-117.158500,33.187100,13
-117.396800,33.623300,16
-117.051700,32.709600,13
-122.219300,37.836100,3
-119.046700,35.156400,14
-120.227600,34.928700,20
-121.491000,38.584000,17
-120.469400,38.101900,11
-117.207600,33.210900,13
-117.325600,34.391800,16
-117.106800,33.223500,13
-117.760800,34.039000,16
-117.313300,33.150800,13
-117.195500,33.830700,16
-117.189100,33.657500,13
-120.391400,34.806900,20
-121.500000,38.951200,1
-119.758900,36.823100,4
-120.365100,38.186100,11
-119.380500,36.661900,4
-119.403500,36.822200,4
-119.380500,36.661900,4
-119.403500,36.822200,4
-120.890900,37.330500,11
-122.423100,37.657800,3
-119.403500,36.822200,4
-120.847100,37.593500,11
-119.888900,36.804400,4
-119.119800,35.389500,14
-124.152700,40.799500,10
NULL,NULL,1
-117.141000,33.586000,13
-117.667700,33.604200,16
-122.156000,37.756500,3
-116.981200,33.258200,13
-121.902300,37.387400,3
-122.161000,37.715900,3
-121.910300,37.528800,3
-120.860700,37.477900,11
